county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Adair,22,8,6,14,11,7,11,7,7,7,8,10,5
Alfalfa,2,3,7,1,0,0,0,1,1,2,0,5,0
Atoka,2,3,6,4,4,1,2,1,6,2,3,3,0
Beaver,7,0,0,0,3,3,3,1,1,1,1,2,0
Beckham,30,29,24,18,25,23,23,32,22,24,23,16,8
Blaine,15,17,13,16,7,5,3,9,9,5,5,6,0
Bryan,7,5,9,7,5,7,2,4,3,2,3,5,0
Caddo,41,44,37,38,37,41,40,35,31,42,28,20,11
Canadian,138,130,159,171,153,139,175,169,142,147,124,116,32
Carter,69,66,42,58,56,45,36,45,44,34,22,28,12
Cherokee,80,61,61,55,55,72,63,44,58,70,58,41,11
Choctaw,0,3,6,4,6,4,9,1,3,1,2,2,0
Cimarron,7,1,2,1,0,1,0,1,0,1,1,0,0
Cleveland,460,454,389,392,433,469,428,453,411,407,353,358,99
Coal,6,4,4,4,4,2,2,2,0,1,4,1,0
Comanche,280,260,239,252,246,246,273,257,249,240,253,166,70
Cotton,9,9,11,7,7,6,9,1,5,3,5,1,0
Craig,26,18,22,18,22,19,19,15,14,13,11,13,4
Creek,102,109,86,94,104,100,101,81,98,75,70,74,27
Custer,52,35,42,41,41,36,26,46,40,32,43,37,11
Delaware,27,27,15,22,22,24,25,20,22,22,25,19,0
Dewey,3,5,6,2,9,4,2,3,4,3,1,1,0
Ellis,8,6,1,1,3,3,2,4,1,0,1,0,0
Garfield,76,76,70,76,64,83,72,71,59,66,63,42,24
Garvin,30,41,36,32,35,31,38,27,29,27,16,15,9
Grady,47,69,57,56,54,58,47,52,46,44,38,43,13
Grant,5,4,3,1,2,1,0,2,3,3,3,2,0
Greer,4,4,4,5,2,4,1,3,1,3,2,2,0
Harmon,2,3,1,0,0,2,0,0,1,2,3,0,0
Harper,5,4,5,0,0,3,0,1,2,3,4,2,0
Haskell,10,12,9,7,6,12,5,7,14,10,7,13,0
Hughes,15,18,13,13,4,8,9,3,7,11,5,9,3
Jackson,33,30,32,29,24,34,36,23,25,22,33,16,7
Jefferson,6,9,5,4,2,1,5,2,5,2,3,1,0
Johnston,6,5,5,2,11,5,3,5,4,5,5,6,0
Kay,33,25,31,31,37,20,26,27,35,51,39,31,10
Kingfisher,17,16,22,8,22,14,17,10,7,15,3,14,0
Kiowa,17,10,8,6,6,7,8,2,2,8,8,3,0
Latimer,7,4,9,6,7,3,2,4,8,5,4,6,0
Le Flore,41,25,33,39,30,20,25,27,26,24,18,23,5
Lincoln,31,18,25,26,33,21,41,25,28,28,23,17,3
Logan,52,47,55,42,36,32,36,47,37,44,32,29,8
Love,7,3,6,1,6,7,8,3,4,3,3,5,0
Major,5,2,3,6,4,6,4,4,4,8,4,2,0
Marshall,3,2,9,5,9,2,4,3,4,3,2,1,0
Mayes,40,41,34,52,34,42,32,48,40,55,36,22,8
McClain,41,32,49,48,50,41,34,31,48,35,34,34,10
McCurtain,11,10,4,5,7,11,6,9,7,7,4,4,0
McIntosh,18,13,16,20,16,15,23,20,10,30,14,18,4
Murray,14,16,9,14,11,7,15,10,7,17,8,4,0
Muskogee,114,149,116,134,120,115,113,103,108,118,93,82,34
Noble,13,10,6,12,7,9,11,6,7,7,6,6,0
Nowata,15,17,14,13,11,14,5,9,9,9,7,9,0
Okfuskee,7,10,15,13,10,7,13,15,15,18,11,5,5
Oklahoma,"2,160","2,090","1,923","1,898","1,970","2,097","2,264","2,279","1,976","1,825","1,709","1,371",396
Okmulgee,64,71,70,67,60,53,66,61,64,61,59,48,17
Osage,50,63,31,49,37,55,57,35,43,34,50,33,11
Ottawa,26,33,18,37,27,34,34,20,26,23,12,15,3
Pawnee,28,24,15,20,21,16,23,26,14,15,14,17,0
Payne,165,158,147,135,122,149,140,137,114,123,122,98,23
Pittsburg,38,38,42,34,43,47,27,35,50,49,43,38,13
Pontotoc,60,57,56,41,50,34,19,37,42,45,38,23,7
Pottawatomie,83,97,85,102,94,73,82,78,76,80,71,82,21
Pushmataha,8,5,7,6,7,6,4,1,3,9,5,1,0
Roger Mills,2,3,2,1,2,5,3,1,3,3,3,0,0
Rogers,108,106,98,106,80,83,96,91,121,108,74,90,31
Seminole,32,32,26,43,19,22,11,15,19,17,22,14,4
Sequoyah,45,29,30,35,31,28,35,22,22,34,22,28,4
Stephens,52,41,36,29,24,33,45,35,35,27,32,14,4
Texas,13,8,8,5,2,4,4,4,4,9,10,8,3
Tillman,7,5,8,6,3,7,4,6,7,4,5,7,0
Tulsa,"1,620","1,667","1,592","1,654","1,570","1,543","1,631","1,431","1,523","1,562","1,594","1,412",381
Wagoner,67,70,38,61,47,56,80,75,103,81,84,59,20
Washington,67,57,47,53,60,49,48,65,76,66,50,46,16
Washita,14,12,7,9,7,13,13,9,7,6,7,4,0
Woods,9,7,10,3,3,1,2,9,6,10,6,7,0
Woodward,28,27,28,21,30,23,20,20,24,23,22,20,5
OKLAHOMA TOTAL,"6,866","6,725","6,215","6,341","6,222","6,323","6,601","6,324","6,131","6,031","5,628","4,825","1,392"