county,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Anderson,155,153,139,118,119,109,109,109,101,93,96,95,110,92,85,,,,
Bedford,80,85,64,75,80,67,74,62,75,68,69,64,53,45,65,,,,
Benton,24,18,15,15,17,11,14,16,13,20,16,11,7,10,9,,,,
Bledsoe,6,4,9,5,7,2,7,2,5,10,6,7,6,4,2,,,,
Blount,220,208,209,206,200,218,170,197,176,152,179,150,139,141,139,,,,
Bradley,116,104,112,134,115,106,98,83,80,95,85,85,74,89,61,,,,
Campbell,54,40,38,50,40,35,39,36,22,31,25,23,28,24,26,,,,
Cannon,12,8,12,12,11,18,14,17,11,6,9,8,12,12,8,,,,
Carroll,49,33,30,27,34,36,36,41,43,36,37,40,22,30,23,,,,
Carter,67,74,71,61,61,54,41,32,27,35,35,31,15,10,12,,,,
Cheatham,55,52,81,69,54,60,53,57,57,63,54,38,43,45,51,,,,
Chester,22,12,10,18,16,16,15,16,14,21,16,14,21,18,11,,,,
Claiborne,48,41,27,27,26,30,40,34,31,28,21,32,19,25,28,,,,
Clay,8,9,4,5,2,4,8,6,6,2,4,7,4,1,2,,,,
Cocke,56,45,59,44,51,38,47,49,53,49,50,46,44,28,35,,,,
Coffee,78,72,85,69,74,72,73,65,65,70,66,55,53,56,50,,,,
Crockett,20,19,26,19,21,18,12,24,22,15,15,15,11,12,18,,,,
Cumberland,47,54,43,52,45,47,42,43,40,37,40,37,42,36,33,,,,
Davidson,"2,476","2,639","2,632","2,749","2,570","2,570","2,368","2,454","2,557","2,523","2,372","2,202","2,161","2,235","2,081","2,123","1,994","1,927","1,632"
Decatur,14,11,13,8,6,10,6,19,6,10,11,8,12,12,4,,,,
Dekalb,17,26,21,16,11,8,18,13,13,12,12,9,12,17,16,,,,
Dickson,74,82,74,60,67,64,61,62,62,85,79,66,63,63,55,,,,
Dyer,58,66,53,51,54,30,51,39,53,42,47,59,52,47,42,,,,
Fayette,73,87,72,79,75,69,61,71,54,85,73,68,79,73,68,,,,
Fentress,12,6,11,9,8,12,2,2,11,12,6,6,9,15,10,,,,
Franklin,53,31,56,37,53,33,34,38,53,40,28,29,38,27,30,,,,
Gibson,74,81,61,70,54,56,53,57,64,61,55,60,60,57,46,,,,
Giles,44,47,44,35,37,37,42,37,39,32,50,30,33,34,47,,,,
Grainger,26,21,27,12,20,23,10,19,12,16,14,17,11,10,10,,,,
Greene,85,83,95,90,69,69,70,58,47,47,44,51,42,34,37,,,,
Grundy,20,13,10,5,7,4,6,7,7,6,8,6,5,4,4,,,,
Hamblen,98,99,96,116,100,83,91,105,93,101,51,57,73,55,64,,,,
Hamilton,607,628,600,674,676,691,416,442,336,321,346,301,306,307,258,224,151,355,90
Hancock,2,2,5,5,5,1,4,2,1,1,1,3,2,2,1,,,,
Hardeman,64,48,50,49,42,34,49,47,62,53,54,47,47,52,32,,,,
Hardin,24,21,23,18,28,29,14,17,16,27,24,21,17,20,15,,,,
Hawkins,71,58,56,60,62,52,44,32,31,34,43,28,22,19,13,,,,
Haywood,42,51,51,47,57,35,41,43,44,49,40,47,37,30,33,,,,
Henderson,37,40,46,31,34,29,28,24,27,21,21,25,31,33,24,,,,
Henry,26,40,49,31,45,34,38,35,44,41,28,31,27,28,28,,,,
Hickman,21,26,24,38,32,31,32,37,36,30,26,30,16,15,21,,,,
Houston,11,10,10,4,3,6,8,5,8,4,6,7,4,10,4,,,,
Humphreys,16,25,20,22,19,14,19,16,14,19,17,10,15,13,12,,,,
Jackson,15,11,16,14,12,19,6,3,6,13,6,6,4,6,4,,,,
Jefferson,83,62,61,56,52,72,46,67,77,59,67,59,45,41,43,,,,
Johnson,17,14,18,13,12,17,5,5,5,4,9,6,0,2,3,,,,
Knox,"1,098","1,112","1,001","1,037",995,954,942,"1,022",999,991,"1,009",853,844,806,761,714,719,716,636
Lake,7,7,13,7,4,5,4,5,3,6,9,5,8,6,1,,,,
Lauderdale,50,52,63,43,50,34,33,46,48,38,47,45,40,25,33,,,,
Lawrence,35,39,30,47,37,21,24,30,33,31,32,28,31,36,31,,,,
Lewis,15,9,10,9,14,7,4,11,2,5,9,6,6,5,8,,,,
Lincoln,57,35,49,44,38,23,23,24,23,51,26,33,29,40,29,,,,
Loudon,68,66,67,47,59,69,67,53,74,54,55,42,33,44,58,,,,
Macon,9,19,23,18,15,19,11,15,8,11,10,13,9,9,14,,,,
Madison,243,254,244,224,237,210,202,238,227,244,212,230,188,195,182,144,121,111,138
Marion,36,30,25,37,29,31,19,14,17,25,23,12,14,17,16,,,,
Marshall,37,49,60,50,42,40,42,43,50,46,34,30,30,34,33,,,,
Maury,177,168,160,168,163,135,125,148,186,173,151,129,106,122,117,,,,
McMinn,76,68,45,57,55,43,58,61,70,53,39,36,43,31,35,,,,
McNairy,26,22,25,29,24,21,18,23,29,17,28,22,23,21,27,,,,
Meigs,14,14,10,8,10,5,9,6,9,11,8,7,7,12,7,,,,
Monroe,53,44,48,34,35,43,37,39,41,43,49,32,45,31,18,,,,
Montgomery,421,398,472,421,417,463,458,458,473,461,508,440,491,487,421,,,,
Moore,2,6,2,4,3,5,3,4,5,9,0,0,4,1,0,,,,
Morgan,14,21,12,9,18,11,14,13,12,14,6,8,8,16,9,,,,
Obion,35,37,35,29,32,26,24,22,24,33,20,31,26,29,22,,,,
Overton,19,12,12,19,16,8,17,16,14,12,10,11,10,9,10,,,,
Perry,5,9,9,6,6,7,4,5,6,5,5,3,5,5,5,,,,
Pickett,5,6,8,2,4,8,2,4,2,2,2,1,7,0,0,,,,
Polk,14,13,6,12,9,9,8,10,13,5,8,4,5,6,4,,,,
Putnam,126,123,108,122,111,118,102,119,101,95,106,84,83,73,96,,,,
Rhea,29,37,30,41,38,40,33,34,33,31,28,32,35,19,22,,,,
Roane,69,62,88,70,82,70,64,54,72,55,71,58,57,39,37,,,,
Robertson,95,90,100,102,108,103,91,111,115,84,101,85,99,71,103,,,,
Rutherford,513,480,555,562,536,542,546,604,697,607,559,563,511,561,512,,,,
Scott,11,13,16,12,10,13,11,9,12,13,9,16,3,13,13,,,,
Sequatchie,12,10,13,16,11,16,12,8,10,12,10,6,6,7,9,,,,
Sevier,143,144,136,154,154,149,157,161,163,142,137,113,132,109,121,,,,
Shelby,"5,405","5,524","5,326","5,232","4,948","4,336","4,353","4,977","5,043","5,103","4,937","4,583","4,595","4,450","3,849","2,914","2,800","2,999","3,190"
Smith,18,20,19,11,21,18,14,28,12,15,14,12,13,11,13,,,,
Stewart,14,14,14,10,10,17,12,13,11,13,9,13,18,12,11,,,,
Sullivan,220,220,231,221,205,151,146,125,90,95,83,77,33,31,31,34,30,98,95
Sumner,249,259,268,281,275,271,233,246,276,291,239,221,235,225,228,,,,
Tipton,112,113,71,100,117,85,73,108,117,110,105,82,71,90,86,,,,
Trousdale,9,10,9,12,10,9,11,5,7,17,13,8,7,8,8,,,,
Unicoi,23,26,22,11,22,14,11,9,13,9,6,6,5,4,4,,,,
Union,23,26,15,14,18,18,16,20,10,8,14,11,17,5,6,,,,
Van Buren,4,0,3,6,5,0,4,4,1,0,4,3,2,0,1,,,,
Warren,35,53,45,46,39,44,51,41,39,29,32,32,34,30,30,,,,
Washington,244,222,248,219,227,167,148,152,124,142,116,103,41,53,53,,,,
Wayne,12,12,10,14,12,11,12,10,14,6,11,11,8,7,7,,,,
Weakley,44,52,50,35,37,39,27,43,43,40,36,25,33,38,30,,,,
White,26,26,20,26,21,18,23,23,27,20,28,16,28,19,20,,,,
Williamson,222,193,183,209,230,218,198,202,218,226,218,195,217,189,223,,,,
Wilson,186,173,151,155,193,165,143,157,146,160,144,154,146,133,118,,,,
TENNESSEE UNKNOWN,11,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,68,171,
TENNESSEE TOTAL,"15,650","15,775","15,488","15,448","14,933","13,902","13,154","14,218","14,376","14,245","13,691","12,573","12,368","12,122","11,134","9,861","9,113","9,732",