county,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Anderson,120,218,304,324,208,110,92,91,81,73,83,77,68,66,82,83,83,55,54,39,55,38,45,24
Andrews,10,13,9,24,25,24,18,21,19,16,15,13,16,22,20,17,21,18,11,17,14,12,8,10
Angelina,142,170,142,154,136,94,104,117,102,95,115,111,116,146,140,151,139,146,154,144,116,106,75,78
Aransas,54,85,87,81,58,54,61,68,45,43,49,51,55,34,41,54,48,62,54,17,39,29,7,21
Archer,9,9,16,13,7,14,6,4,5,16,8,7,6,15,9,8,7,8,6,8,3,8,4,1
Armstrong,3,5,3,3,0,2,4,6,7,7,13,5,13,0,3,3,5,0,1,1,2,1,0,0
Atascosa,72,67,52,83,72,63,80,107,89,83,75,79,86,89,81,111,83,98,73,83,63,61,54,76
Austin,33,42,32,39,42,49,47,64,42,50,61,56,45,56,409,142,89,60,60,51,36,42,35,32
Bailey,10,3,3,14,12,9,6,159,175,281,5,12,4,7,3,10,6,7,4,4,3,1,1,4
Bandera,26,37,32,36,36,34,26,22,28,24,26,26,28,31,28,19,27,35,27,17,19,22,11,18
Bastrop,87,123,109,100,124,112,96,150,257,185,166,137,116,115,100,108,126,126,115,146,135,110,107,105
Baylor,3,12,10,21,29,4,3,7,7,4,9,6,4,6,9,11,5,4,3,6,4,2,1,3
Bee,78,56,89,79,118,74,78,67,77,57,68,68,64,44,56,52,56,58,44,21,44,49,19,46
Bell,966,857,893,"1,005","1,095",936,893,912,759,"1,109",992,"1,023",972,891,906,832,968,"1,048","1,096","1,037","1,053",922,823,790
Bexar,"7,246","6,452","6,407","6,508","6,449","6,650","7,857","8,056","7,905","7,969","7,577","7,246","6,714","6,727","7,463","7,372","7,313","6,798","6,893","5,916","5,562","5,524","5,134","5,296"
Blanco,21,18,13,19,22,7,13,17,11,12,16,22,19,15,15,25,16,18,13,20,11,8,8,6
Borden,0,7,1,2,3,2,1,2,4,2,0,2,1,3,1,1,2,1,1,1,3,0,0,0
Bosque,20,27,14,34,23,28,19,14,18,15,16,22,18,29,21,29,29,21,20,26,18,21,24,10
Bowie,29,53,47,44,76,79,57,37,81,34,39,33,33,37,34,49,39,41,39,23,16,132,130,60
Brazoria,494,593,564,492,595,479,380,339,399,350,435,460,487,547,609,557,543,595,672,631,619,641,597,639
Brazos,521,646,618,554,494,352,379,437,503,536,528,531,433,514,533,495,618,566,573,492,539,365,364,357
Brewster,21,10,25,29,29,26,11,21,15,18,17,15,15,19,29,18,34,30,17,15,12,26,7,11
Briscoe,5,8,8,10,3,3,1,1,5,21,2,10,25,17,5,8,24,22,43,25,17,0,0,0
Brooks,37,21,32,22,22,19,19,19,15,20,16,17,17,16,19,18,25,19,25,15,20,14,6,8
Brown,46,45,62,63,62,45,42,45,29,25,32,29,36,39,26,29,58,36,27,28,28,28,15,23
Burleson,23,28,25,20,32,27,25,30,38,27,31,40,35,27,29,26,21,27,26,17,18,21,14,11
Burnet,50,66,47,60,56,65,62,79,98,85,66,65,52,45,71,57,78,62,70,54,54,56,45,50
Caldwell,67,78,83,89,88,73,78,81,34,78,80,85,67,54,78,65,67,64,81,77,76,89,63,57
Calhoun,61,50,45,27,35,30,27,30,28,44,27,29,44,22,26,33,32,24,24,22,22,19,15,20
Callahan,15,12,15,13,19,12,14,9,5,6,8,12,9,15,11,5,6,11,10,16,12,10,4,6
Cameron,"1,028","1,001","1,004",969,952,983,966,892,"1,127",878,872,770,791,873,900,895,938,867,870,786,546,443,239,400
Camp,16,14,19,15,19,25,16,16,17,15,12,15,16,13,14,17,15,11,18,9,11,19,11,13
Carson,17,7,8,5,8,9,9,7,4,3,0,8,3,5,1,1,4,0,1,5,4,1,0,0
Cass,14,11,7,16,17,14,15,10,13,8,6,8,4,7,3,10,10,4,4,9,5,29,26,15
Castro,8,10,8,21,15,11,14,11,5,7,11,10,8,3,6,6,4,7,8,5,9,3,1,7
Chambers,37,36,53,34,44,37,39,25,48,33,32,34,48,58,73,98,143,111,158,98,92,69,84,98
Cherokee,89,87,94,69,78,68,65,65,62,43,62,44,49,54,43,46,51,44,49,52,45,55,39,49
Childress,4,12,11,4,3,4,10,8,8,5,5,9,4,6,4,3,9,7,6,4,6,4,0,1
Clay,10,17,13,10,19,19,19,13,9,11,13,12,10,7,9,11,12,9,3,5,10,10,3,2
Cochran,8,6,4,2,4,4,6,3,2,1,0,1,3,0,1,0,2,0,0,5,2,0,1,1
Coke,28,23,15,1,13,3,13,5,13,15,8,5,1,12,9,8,5,4,6,0,4,3,0,0
Coleman,16,11,9,9,8,13,11,12,11,7,5,8,5,4,12,5,5,4,10,9,7,1,5,3
Collin,992,"1,098",952,957,"1,036","1,103","1,068","1,102",843,"1,289","1,489","1,593","1,581","1,787","1,757","1,914","1,879","1,690","1,650","1,608","1,448","1,678","1,407","1,410"
Collingsworth,1,8,4,7,5,1,2,3,2,6,2,2,2,1,2,3,0,2,2,3,1,1,0,1
Colorado,36,42,35,32,32,26,27,20,29,25,25,22,24,37,41,36,27,34,29,26,18,14,22,38
Comal,120,121,120,151,152,158,147,178,159,169,167,199,162,186,203,185,170,205,209,190,151,190,138,201
Comanche,20,24,17,29,41,14,22,17,15,9,18,21,13,13,13,20,25,20,25,23,12,14,10,17
Concho,5,7,6,0,3,3,0,3,2,2,1,2,1,0,3,3,3,3,2,3,1,4,3,1
Cooke,94,50,81,55,43,36,47,56,48,46,64,49,63,52,70,62,44,46,57,52,40,48,38,38
Coryell,116,157,181,196,174,163,164,160,131,184,202,164,132,108,120,127,119,114,136,126,134,95,94,77
Cottle,60,57,19,8,10,19,5,16,6,3,6,6,8,12,7,11,5,5,7,10,3,0,1,1
Crane,33,24,14,16,12,5,11,12,6,14,6,3,8,8,4,8,2,17,9,7,2,5,1,5
Crockett,13,17,13,7,9,11,4,6,10,6,7,10,4,9,15,14,12,11,14,9,7,4,4,4
Crosby,16,22,12,15,11,13,17,19,19,16,22,16,25,18,24,13,29,16,13,26,17,7,0,2
Culberson,2,1,5,3,7,4,2,2,2,6,5,0,5,1,2,2,0,2,5,9,5,4,0,2
Dallam,12,49,49,20,17,10,8,27,6,7,4,9,12,9,9,5,12,16,2,5,2,1,2,2
Dallas,"12,649","12,511","11,735","12,505","13,207","12,914","13,071","12,982","10,160","10,739","12,450","11,784","11,158","11,128","11,479","11,152","11,424","11,077","10,606","10,147","9,960","8,300","7,765","7,277"
Dawson,24,18,20,17,23,19,20,17,14,10,11,15,12,18,20,16,23,15,8,11,10,5,3,5
Deaf Smith,30,38,30,35,35,31,13,18,21,18,18,16,15,23,19,20,14,19,18,21,11,8,4,13
Delta,7,7,9,15,11,4,10,4,5,2,6,7,4,6,3,10,17,5,26,8,4,5,1,4
Denton,"1,455","1,354","1,420","1,259","1,238","1,333","1,253","1,354","1,014","1,194","1,327","1,394","1,388","1,553","1,592","1,654","1,653","1,490","1,455","1,404","1,246","1,431","1,227","1,149"
DeWitt,32,30,29,34,37,23,16,16,29,27,24,24,25,27,37,15,24,20,24,26,23,16,12,26
Dickens,6,6,8,7,3,5,8,4,4,9,5,0,2,8,4,3,3,3,5,6,6,0,1,1
Dimmit,36,18,20,26,20,12,24,22,14,22,12,12,20,10,20,20,19,23,23,13,18,11,6,25
Donley,2,5,6,11,7,7,13,5,3,2,6,7,3,5,5,10,7,6,5,11,7,1,1,0
Duval,39,32,34,45,58,75,23,38,32,26,33,31,30,35,31,39,36,33,33,10,27,24,8,23
Eastland,30,42,44,45,41,26,21,20,17,15,20,21,21,19,17,18,16,22,15,19,11,7,6,5
Ector,383,388,349,381,340,462,249,311,259,306,236,275,326,242,307,323,327,344,243,213,217,217,144,200
Edwards,6,4,3,3,6,2,2,9,0,5,5,1,5,3,2,1,5,4,5,3,5,0,1,2
El Paso,"2,546","1,966","2,182","2,500","2,211","2,143","2,076","1,880","1,819","1,899","1,932","2,257","2,000","2,018","2,288","2,251","2,253","2,265","2,216","2,216","2,141","1,743","1,062","1,270"
Ellis,244,241,196,211,236,266,242,263,213,240,257,236,224,210,256,294,294,285,272,223,201,252,227,216
Erath,121,120,144,125,132,107,107,73,60,46,58,80,73,68,67,76,87,81,56,68,66,49,53,52
Falls,38,21,32,29,46,32,38,28,30,37,44,36,31,40,37,37,36,30,33,26,19,33,22,17
Fannin,46,57,51,28,47,49,44,33,28,38,44,34,25,50,43,36,40,46,34,32,21,30,20,20
Fayette,41,33,26,24,37,28,29,25,18,17,35,18,33,24,28,23,24,40,22,20,22,27,21,15
Fisher,5,7,7,12,6,7,3,4,2,1,1,3,4,3,2,1,4,4,3,6,4,4,1,0
Floyd,10,15,7,14,13,6,10,12,4,6,8,9,5,5,2,0,3,1,4,5,3,3,1,1
Foard,5,11,11,6,6,7,1,4,0,2,3,2,5,3,3,1,1,1,0,1,1,0,0,2
Fort Bend,935,908,796,904,767,682,795,746,796,865,954,909,"1,120","1,225","1,370","1,250","1,326","1,304","1,436","1,381","1,379","1,346","1,268","1,272"
Franklin,15,16,11,17,19,7,13,16,11,21,6,21,11,13,22,15,17,13,7,11,12,14,5,5
Freestone,39,41,28,32,20,31,25,24,28,27,30,36,42,40,35,28,37,26,25,16,29,28,17,11
Frio,35,23,21,30,27,35,20,37,27,28,28,43,31,42,40,36,35,32,34,38,31,33,21,38
Gaines,21,21,16,19,22,21,15,13,13,15,11,12,9,11,10,11,4,5,10,12,7,6,2,5
Galveston,853,902,"1,012",861,854,596,720,695,770,633,685,751,759,741,840,741,751,724,781,713,746,737,676,663
Garza,4,4,5,7,12,7,6,6,10,10,9,10,4,5,5,2,7,2,3,1,2,2,3,0
Gillespie,27,31,25,22,29,34,24,21,21,22,19,36,35,24,30,31,28,37,29,31,21,24,7,26
Glasscock,3,4,8,4,4,1,1,1,1,1,0,0,1,2,1,0,2,0,1,1,0,0,1,2
Goliad,17,6,11,9,11,4,7,12,11,9,18,10,11,9,8,9,6,4,6,6,6,4,4,6
Gonzales,29,35,31,35,36,31,23,37,40,44,52,40,23,36,36,23,37,41,32,34,27,18,11,27
Gray,33,36,26,27,33,18,28,22,19,21,11,15,26,12,11,22,20,13,10,8,14,13,6,10
Grayson,245,244,237,226,250,216,188,220,167,170,178,212,186,180,227,184,237,223,194,150,142,158,117,158
Gregg,112,91,97,96,129,122,107,109,122,119,114,112,96,110,132,134,104,108,111,88,59,194,172,89
Grimes,36,38,41,37,41,40,41,43,46,52,41,38,52,48,44,55,40,34,33,41,25,33,32,45
Guadalupe,140,159,160,162,167,172,205,187,171,160,162,186,179,186,181,193,189,214,189,182,155,171,150,168
Hale,60,61,65,54,66,54,62,44,35,50,49,43,43,46,43,39,48,38,34,26,16,18,7,14
Hall,11,5,2,6,2,6,5,4,5,4,5,1,2,3,5,5,2,3,4,2,0,2,1,0
Hamilton,9,15,16,13,15,9,17,11,7,11,8,7,11,15,7,13,16,8,10,5,3,12,3,4
Hansford,4,4,8,6,8,1,6,3,3,4,2,4,2,1,3,3,2,1,2,0,1,0,0,2
Hardeman,13,3,4,9,4,2,6,1,5,1,9,5,10,12,6,7,4,9,8,9,4,7,14,2
Hardin,56,124,117,99,79,69,73,109,117,97,81,101,85,95,121,114,104,97,52,83,30,71,51,42
Harris,"25,449","25,582","24,858","22,062","24,822","22,562","19,939","17,864","18,263","18,656","17,174","17,233","17,247","18,973","19,987","17,956","18,107","18,447","18,914","17,633","17,007","15,907","14,785","14,311"
Harrison,28,34,33,37,24,27,30,32,36,23,30,21,22,17,21,30,14,11,21,16,13,101,76,46
Hartley,10,10,19,14,11,8,2,1,3,5,3,3,3,3,2,2,4,1,0,2,1,0,0,0
Haskell,11,9,10,4,3,7,11,7,7,4,8,5,6,5,3,14,13,3,4,5,0,4,2,1
Hays,348,365,347,404,362,336,282,395,243,412,373,340,343,355,438,418,384,399,432,445,461,448,433,452
Hemphill,5,4,4,6,8,2,3,0,2,4,5,1,0,6,7,4,4,2,2,2,2,1,0,2
Henderson,124,117,159,118,148,131,113,141,118,116,94,123,107,98,106,98,116,84,74,79,74,79,69,50
Hidalgo,"1,167","1,188","1,234","1,079","1,115",970,838,884,"1,141","1,524","1,424","1,419","1,320","1,629","1,655","1,662","1,838","1,691","1,859","1,706","1,384","1,211",507,"1,111"
Hill,65,68,66,63,69,53,54,41,56,52,41,64,65,55,46,60,53,53,40,42,39,34,35,20
Hockley,52,55,55,46,67,53,33,39,33,40,39,54,18,43,44,18,28,25,26,30,19,14,16,16
Hood,89,106,115,115,99,70,79,61,80,50,38,53,62,44,68,68,62,58,92,67,56,54,41,39
Hopkins,52,43,54,55,65,61,53,41,38,37,25,27,51,39,41,56,46,44,41,24,28,28,13,24
Houston,19,25,30,27,17,25,14,99,87,66,101,43,17,16,177,"1,075",825,5,2,2,6,51,10,21
Howard,93,37,61,79,47,57,59,47,35,48,43,34,47,47,42,50,42,45,26,30,22,28,23,29
Hudspeth,106,101,132,9,4,1,0,2,0,3,2,3,4,2,4,2,3,2,0,2,1,6,2,0
Hunt,186,178,170,176,221,167,141,186,128,143,147,157,148,138,165,157,142,111,107,109,101,122,66,89
Hutchinson,42,32,36,23,33,44,36,26,15,9,27,25,12,20,28,27,21,18,18,7,10,12,1,9
Irion,9,12,4,3,7,2,4,1,0,1,0,3,1,1,2,5,0,2,5,1,1,2,1,1
Jack,20,5,14,23,11,10,15,17,10,6,10,11,10,6,11,4,9,6,4,10,6,4,4,6
Jackson,71,74,64,47,44,18,20,45,44,31,29,31,31,28,23,24,12,13,13,16,20,14,14,17
Jasper,74,98,63,80,50,47,66,58,71,60,66,92,77,54,70,50,70,53,77,42,76,50,44,26
Jeff Davis,13,4,3,4,4,5,1,3,2,6,3,9,4,3,3,3,5,1,2,3,0,0,1,2
Jefferson,"1,225",952,830,759,767,614,652,758,711,562,595,617,549,592,592,646,736,739,746,710,709,605,462,456
Jim Hogg,14,19,12,17,27,10,6,11,8,9,7,12,2,15,6,11,14,11,17,3,6,11,6,7
